,icb_name,en_icb_name,icb_code,level
116,Hàng không,Airlines,5751,4
117,Khách sạn,Hotels,5753,4
118,Dịch vụ giải trí,Recreational Services,5755,4
119,Nhà hàng và quán bar,Restaurants & Bars,5757,4
120,Vận tải hành khách & Du lịch,Travel & Tourism,5759,4
121,Viễn thông cố định,Fixed Line Telecommunications,6535,4
122,Viễn thông di động,Mobile Telecommunications,6575,4
123,Sản xuất & Phân phối Điện,Conventional Electricity,7535,4
124,Phân phối xăng dầu & khí đốt,Gas Distribution,7573,4
125,Tiện ích khác,Multiutilities,7575,4
126,Nước,Water,7577,4
127,Ngân hàng,Banks,8355,4
128,Bảo hiểm phi nhân thọ,Property & Casualty Insurance,8536,4
129,Tái bảo hiểm,Reinsurance,8538,4
130,Bảo hiểm nhân thọ,Life Insurance,8575,4
131,Bất động sản,Real Estate Holding & Development,8633,4
132,"Tư Vấn, Định giá, Môi giới Bất động sản",Real Estate Services,8637,4
133,Quản lý tài sản,Asset Managers,8771,4
134,Tài chính cá nhân,Consumer Finance,8773,4
135,Tài chính đặc biệt,Specialty Finance,8775,4
136,Môi giới chứng khoán,Investment Services,8777,4
137,Quỹ đầu tư,Equity Investment Instruments,8985,4
138,Dịch vụ Máy tính,Computer Services,9533,4
139,Internet,Internet,9535,4
140,Phần mềm,Software,9537,4
141,Phần cứng,Computer Hardware,9572,4
142,Thiết bị văn phòng,Electronic Office Equipment,9574,4
143,Thiết bị viễn thông,Telecommunications Equipment,9578,4
144,Dầu khí,Oil & Gas,0001,1
145,Nguyên vật liệu,Basic Materials,1000,1
146,Công nghiệp,Industrials,2000,1
147,Hàng Tiêu dùng,Consumer Goods,3000,1
148,Dược phẩm và Y tế,Health Care,4000,1
149,Dịch vụ Tiêu dùng,Consumer Services,5000,1
150,Viễn thông,Telecommunications,6000,1
151,Tiện ích Cộng đồng,Utilities,7000,1
152,Tài chính,Financials,8000,1
153,Ngân hàng,Banks,8301,1
154,Công nghệ Thông tin,Technology,9000,1
